,分词,计数
5670,爸爸,10
5689,身边,10
5796,道德,10
6093,发生,10
6357,特效,10
6383,第一,10
6487,试图,10
6591,热闹,10
6624,全是,10
6758,语言,10
6801,背后,10
6871,龙马精神,10
6936,大部分,10
6991,教父,10
7200,翻拍,10
7232,荧幕,10
7351,墓地,10
7437,推荐,10
7605,情,10
7646,第一个,10
7812,尊重,10
7885,便,10
7977,朋友,10
8101,闹剧,10
8118,孩子,10
8429,头,10
8687,冷静,10
8740,化,10
8782,剧作,10
8873,美,10
8893,总,10
9676,太多,10
9816,及格,10
9874,却是,10
10020,信息,10
10048,展示,10
10089,挖,10
10328,生涯,10
10422,掉,10
10506,少年,10
19,十足,9
121,四星,9
206,黑马,9
342,角度,9
459,粉丝,9
605,恶心,9
621,冲着,9
663,普通人,9
898,岳云鹏,9
1012,地域,9
1093,巧妙,9
1127,一部分,9
1207,侮辱,9
1355,诚意,9
1417,一首,9
1602,港片,9
1660,把握,9
1824,埋,9
2034,惊艳,9
2072,年纪,9
2324,分手,9
2370,惊悚片,9
2383,娱乐,9
2448,两星,9
2548,不易,9
2728,近几年,9
3014,场面,9
3172,一路,9
3206,一出,9
3299,前作,9
3388,潮汕地区,9
3398,我会,9
3424,弟弟,9
3453,温暖,9
3572,偶像,9
3632,乡土,9
3684,出演,9
3876,组合,9
4052,正确,9
4174,事实,9
4272,老套,9
4481,部,9
5039,麒麟,9
5067,批判,9
5114,共情,9
5254,包括,9
5351,一年一度,9
5394,亮点,9
5515,成长,9
5825,略,9
6026,青年,9
6314,状态,9
6684,计划,9
6847,潮汕方言,9
6867,婚姻,9
6988,资本,9
7023,勇敢,9
7089,烦恼,9
7215,话剧,9
7416,灵魂,9
7481,特技,9
7629,四字,9
8171,反抗,9
8305,花钱,9
8364,消费,9
8604,差点,9
8919,基础,9
8976,牛,9
9650,浮夸,9
9934,游戏,9
9995,俗套,9
10015,本土,9
10047,颇,9
10050,要说,9
10516,认可,9
10563,夸张,9
147,爽,8
187,反差,8
193,这才,8
195,层面,8
208,讨论,8
339,业余,8
347,影像,8
436,警察故事,8
489,这件,8
609,傻,8
645,讨喜,8
920,宗族,8
1105,心酸,8
1231,影子,8
1281,机会,8
1297,周星驰,8
1330,美好,8
1389,符合,8
1431,审美,8
1451,拿捏,8
1610,生命,8
1699,饰演,8
1719,@,8
1726,孙均,8
1736,有种,8
1850,主线,8
1851,功夫,8
1904,凑,8
1907,捧,8
2022,群演,8
2235,追梦,8
2427,有没有,8
2459,回来,8
2586,妥协,8
2721,宣传,8
2775,男女,8
2851,转折,8
2891,祝福,8
3015,代表,8
3051,突破,8
3148,几次,8
3248,為,8
3584,不停,8
3639,屎尿,8
3751,大过年,8
3771,反派,8
3796,高级,8
3872,女朋友,8
4317,感慨,8
4325,提前,8
4374,陪,8
4391,值得一看,8
4483,聪明,8
4530,老罗,8
4765,喜剧演员,8
4806,全靠,8
4865,拖沓,8
5119,分钟,8
5206,一幕,8
5284,一步,8
5295,主旨,8
5324,70,8
5393,评论,8
5421,教育,8
5427,回到,8
5459,大众,8
5608,两年,8
5683,我妈,8
5744,层层,8
5774,梦回,8
5927,笑话,8
6019,视角,8
6035,全,8
6557,这一,8
6560,男一号,8
6565,改变,8
6679,祝你平安,8
6996,机场,8
7228,演绎,8
7514,善良,8
7549,白马,8
7592,习俗,8
7604,弧光,8
7722,受伤,8
7740,万万,8
7786,有点像,8
7843,影,8
7870,屁,8
8136,背,8
8226,郭,8
8234,摄影,8
8285,追逐,8
8345,宇宙,8
8407,舔,8
8409,悬念,8
8619,女生,8
8716,混,8
8797,去年,8
8820,偏见,8
9038,龙,8
9069,好人,8
9115,奇怪,8
9150,一喜,8
9175,杀青,8
9208,这句,8
9286,三谷,8
9303,帆,8
9454,荒野,8
9575,贴合,8
9618,爱国,8
9795,先,8
9873,体现,8
10117,坟,8
10177,女孩,8
10228,动物,8
10299,合家欢,8
10321,关键,8
10358,太过,8
10378,响起,8
10576,营造,8
10622,时期,8
27,嗨,7
140,脑子,7
161,乐队,7
249,目的,7
500,舒服,7
537,欢乐,7
547,俗,7
593,文戏,7
672,還是,7
737,三枪,7
806,因素,7
861,十分钟,7
882,心疼,7
1054,两代,7
1058,坐台,7
1140,控制,7
1234,蠢,7
1324,拼命,7
1367,出色,7
1374,做作,7
1404,建立,7
1488,内涵,7
1520,刚,7
1533,旁边,7
1550,稳定,7
1717,60,7
1912,略显,7
1955,走进,7
1970,怕,7
2054,奇妙,7
2055,拼凑,7
2087,处,7
2188,工整,7
2287,反正,7
2310,CGI,7
2641,中规中矩,7
2659,抖,7
2663,唏嘘,7
2784,同学,7
2843,伤害,7
2942,傻子,7
3037,生日,7
3117,心中,7
3138,流泪,7
3151,一堆,7
3215,始终,7
3279,挑战,7
3315,意料之中,7
3358,不配,7
3380,现象,7
3386,横,7
3438,一众,7
3474,悬浮,7
3627,贴,7
3769,成片,7
3775,之中,7
3864,抠,7
4238,骗,7
4474,缝纫机,7
4482,活,7
4517,怀疑,7
4554,推进,7
4608,构建,7
4642,外,7
4670,色彩,7
4919,选角,7
4994,成就,7
5091,有鬼,7
5115,风尘,7
5236,敢,7
5290,过时,7
5370,电影票,7
5487,学生,7
5550,说服力,7
5682,一套,7
5720,危险,7
5741,香港,7
5957,红,7
6059,一条,7
6104,一匹,7
6211,落点,7
6233,凝视,7
6324,未,7
6345,死亡,7
6400,传谣,7
6504,系,7
6529,7.5,7
6595,责任,7
6734,观看,7
6736,胎记,7
6793,粗糙,7
6910,延续,7
6953,飞机,7
7173,神话,7
7246,油耗子,7
7384,带泪,7
7413,不住,7
7612,打磨,7
7673,作用,7
7685,回忆,7
7748,进,7
7887,性格,7
7906,布景,7
7955,杭州,7
8039,模糊,7
8103,爆,7
8206,表情,7
8346,看成,7
8539,事业,7
8552,互动,7
8673,礼物,7
8857,後,7
8864,造型,7
8887,歧视,7
8985,味儿,7
9126,男人,7
9160,刺激,7
9466,一半,7
9467,大人,7
9530,面对,7
9554,细腻,7
9863,东海,7
9864,本质,7
9963,解释,7
10004,大笑,7
10028,纯纯,7
10055,长大,7
10060,坐台女,7
10156,放松,7
10232,记忆,7
10296,家,7
10453,一股,7
10475,独立,7
10562,自有,7
10617,催泪,7
10621,帮,7
9,赞,6
63,翻,6
162,广州,6
176,纯,6
189,口碑,6
259,本色,6
366,落魄,6
384,群体,6
420,卡尔,6
461,拜见,6
637,真心,6
670,刀,6
684,保障,6
695,一份,6
712,2023,6
731,之王,6
746,互文,6
831,公映,6
856,属实,6
912,二十分钟,6
928,拜,6
932,根深蒂固,6
1060,体会,6
1210,拍得,6
1255,俩,6
1283,带你去,6
1306,自带,6
1482,职场,6
1509,现实主义,6
1618,转场,6
1627,周一围,6
1630,一件,6
1698,对不起,6
1741,挺不错,6
1759,插科打诨,6
2011,本土化,6
2051,睡,6
2129,说话,6
2242,坐飞机,6
2285,过往,6
2321,戏曲,6
2415,焦虑,6
2430,才华,6
2468,回归,6
2662,摄像机,6
2678,月,6
2771,违和,6
2781,办法,6
2887,对抗,6
2908,从头到尾,6
2996,佳作,6
3021,换,6
3034,呼应,6
3273,新鲜,6
3297,离过婚,6
3307,上院,6
3324,emo,6
3409,割裂,6
3423,视听,6
3504,头发,6
3511,调度,6
3522,力,6
3597,真人,6
3650,大声,6
3747,如鲠在喉,6
3779,一人,6
3821,严肃,6
3859,贞洁,6
3897,多重,6
4049,二刷,6
4210,承认,6
4271,怀念,6
4311,吹,6
4362,灾难,6
4660,bgm,6
4711,监制,6
4788,假期,6
4876,几场,6
4881,担心,6
4937,气质,6
5077,后悔,6
5086,全军,6
5116,揉,6
5149,人性,6
5155,一個,6
5197,票,6
5207,接,6
5214,期,6
5365,传播,6
5374,这场,6
5377,难过,6
5387,删,6
5510,少有,6
5534,立,6
5562,全员,6
5606,没人,6
5615,复诵,6
5748,张大,6
5836,跳,6
5929,......,6
5946,蹭,6
5948,太行,6
5999,欣赏,6
6339,风俗,6
6411,69,6
6568,救,6
6593,海报,6
6596,太烂,6
6697,令,6
6813,败笔,6
6829,煎饼,6
6891,污点,6
6901,满意,6
7038,老人,6
7040,票价,6
7062,特意,6
7132,偏,6
7240,真假,6
7247,黄谣,6
7256,投资,6
