,分词,计数
17745,类似,47
20850,亭,47
25435,视听,47
25495,冲突,47
25823,悬念,47
26860,轻松,47
4198,故弄玄虚,46
4865,部,46
6117,背后,46
8522,东野,46
8949,调度,46
9503,买,46
12257,掉,46
14579,感到,46
15286,造谣,46
18558,智商,46
22604,之外,46
22840,震撼,46
23629,理想,46
25497,大陆,46
27272,都市,46
27411,孙千,46
871,第一,45
1097,工具,45
5511,段子,45
6059,槽,45
7417,特色,45
8859,住,45
13580,观看,45
13725,怪,45
13779,老师,45
14922,一堆,45
16672,友情,45
17217,魅力,45
17393,漂亮,45
19557,和解,45
26654,站,45
27340,机器人,45
28529,救,45
3254,证明,44
4350,原因,44
4520,成本,44
5106,冲着,44
7285,跳,44
9175,影像,44
12657,职业,44
12973,符合,44
13069,垃圾,44
15542,演出,44
17012,放,44
17649,感谢,44
18047,核心,44
18589,香港电影,44
19904,古天乐,44
20568,张艺兴,44
23362,弟弟,44
25364,包袱,44
26382,讽刺,44
204,包括,43
870,演戏,43
1845,原生,43
2664,记忆,43
4345,大战,43
7242,一群,43
8911,无名,43
12676,拍得,43
13310,怪物,43
14417,处,43
14561,带来,43
19853,模仿,43
23254,思考,43
25794,青春片,43
815,爽,42
2758,紧凑,42
5160,讲故事,42
6708,展示,42
7355,距离,42
9693,建议,42
10545,制造,42
11059,花,42
12134,快乐,42
12949,所有人,42
13130,有种,42
13375,场,42
13550,学生,42
13571,停,42
13921,推理,42
14580,手法,42
14737,共鸣,42
16752,剪,42
17525,假,42
18454,勇敢,42
18507,父女,42
21685,三,42
21924,中规中矩,42
21966,悬疑片,42
23477,一半,42
24960,诚意,42
26218,回,42
27573,视觉,42
28568,小女孩,42
2947,颜值,41
4364,宇宙,41
4590,试图,41
4779,当年,41
8053,差点,41
10150,无论是,41
13074,高潮,41
15548,身边,41
18089,看不懂,41
19124,追求,41
19929,手机,41
20366,交代,41
23692,现场,41
4605,合家欢,40
5935,糟糕,40
6526,瞬间,40
7375,出场,40
7428,翁子光,40
8386,抓,40
9827,勉强,40
11633,重复,40
13185,家人,40
14318,奶奶,40
16491,开,40
27418,张婧仪,40
27726,突兀,40
181,小朋友,39
352,不适,39
2056,心理,39
2804,色彩,39
5743,不住,39
6021,瞎子,39
8489,基础,39
8967,能量,39
11840,姐妹,39
14306,白,39
15805,方言,39
17114,气氛,39
17453,表情,39
18260,内心,39
19931,乱,39
20717,扎实,39
21027,事件,39
21248,五一,39
21519,估计,39
21822,吾,39
22088,缝合,39
23226,舒服,39
23711,全场,39
709,廉价,38
2494,生命,38
3111,立意,38
4899,马,38
5349,ps,38
5356,人心,38
6677,本子,38
7243,平庸,38
8852,游戏,38
10254,爽片,38
12262,演绎,38
13813,力量,38
15971,两,38
16926,反正,38
17566,厉害,38
17793,人类,38
