,分词,计数
5589,表面,12
5625,一丝,12
5901,大过年,12
5964,香港电影,12
6012,冲着,12
6102,癫狂,12
6223,可怕,12
6278,非线性,12
6659,服化,12
6992,对手戏,12
7142,银幕,12
7156,高家,12
7459,萱,12
7595,够,12
7899,不算,12
7967,调色,12
8099,干嘛,12
8183,音效,12
8367,抱,12
8567,王丽坤,12
8591,一年,12
8614,买,12
8638,對,12
8901,试图,12
8930,信,12
9065,不住,12
9093,疏影,12
9132,案,12
72,越,11
116,大年初一,11
314,优点,11
381,剧组,11
556,感动,11
630,一個,11
899,黄磊,11
1106,石黑,11
1176,岳云鹏,11
1296,模式,11
1310,诡异,11
1329,仿佛,11
1365,改,11
1649,类似,11
1811,一看,11
1889,成立,11
2155,控制,11
2207,终于,11
2359,不太,11
2646,＝,11
2827,解释,11
2919,救,11
3000,矫情,11
3023,怀疑,11
3299,典型,11
3343,嫁衣,11
3370,程度,11
3541,单薄,11
3592,江,11
3643,影院,11
3777,制造,11
3813,展开,11
4072,啊啊啊,11
4186,一堆,11
4288,包括,11
4351,屎,11
4508,自我,11
4587,人生,11
4688,略,11
4692,扎实,11
4808,突突突,11
4946,春节,11
4951,一众,11
5026,思考,11
5186,化,11
5357,看得,11
5457,独立,11
5841,出色,11
5869,温情,11
5974,彩蛋,11
6026,代入,11
6073,配音,11
6103,乱,11
6153,人设,11
6178,还原,11
6258,尬,11
6349,放弃,11
6439,漏洞百出,11
6459,倒叙,11
7101,超出,11
7546,明明,11
7642,对白,11
7753,刺激,11
8058,漏洞,11
8144,熟悉,11
8558,非,11
8803,转折,11
8883,穿,11
8944,狐妻,11
8998,第一次,11
9057,拉,11
9155,大可不必,11
9216,快,11
9282,紧张感,11
9335,剩下,11
130,道具,10
151,李若彤,10
235,合适,10
329,住,10
330,正邪,10
398,!,10
484,惊悚片,10
543,反正,10
690,浮夸,10
695,包装,10
780,票,10
1025,案情,10
1182,色调,10
1362,版本,10
1447,场,10
1527,沉浸,10
1603,提,10
1640,有鬼,10
1855,有种,10
2006,山村,10
2016,转场,10
2149,老套,10
2408,桥段,10
2711,林峰,10
2763,银河,10
2924,怕,10
3089,相比,10
3118,一半,10
3218,长,10
3234,光明,10
3373,驴,10
3445,槽,10
3498,话,10
3656,大片,10
3693,上映,10
3724,跳舞,10
4253,白姐,10
4259,杀人案,10
4440,割裂,10
4454,依然,10
4522,一出,10
4753,差到,10
4839,亮点,10
4911,买票,10
4919,口碑,10
4990,线索,10
5222,用力,10
5263,关键,10
5309,送,10
5330,先,10
5509,弟弟,10
5733,严华,10
5851,类,10
5993,设置,10
6024,一雄,10
6126,垃圾,10
6365,房子,10
6404,属实,10
6415,丰满,10
6478,心理,10
6864,剪,10
6874,拆弹,10
7183,影响,10
7268,水,10
7271,姐姐,10
7367,带来,10
7540,冯绍峰,10
7990,疲态,10
8010,几位,10
8177,前作,10
8286,罪案,10
8374,非要,10
8899,很棒,10
9244,形象,10
9266,远山,10
174,诈骗,9
175,疯,9
182,社会,9
284,生气,9
301,差点,9
803,王一博演,9
861,演绎,9
1080,游戏,9
1137,仇,9
1277,增加,9
1288,抽丝剥茧,9
1458,sa,9
1513,缺陷,9
1722,两部,9
1793,基础,9
1866,牵强,9
2221,叙述,9
2263,功夫,9
2273,之下,9
2354,精致,9
2414,有點,9
2574,自杀,9
2585,无论是,9
2802,难,9
2910,男女,9
2962,乱七八糟,9
3351,谍战片,9
3375,鬼故事,9
3423,贼,9
3715,男,9
3839,改动,9
4138,電影,9
4223,报警,9
4243,如坐针毡,9
4327,降智,9
4474,揭开,9
4615,稍微,9
4666,掩盖,9
4673,疯子,9
4741,后期,9
4848,影像,9
4941,各怀鬼胎,9
5023,後,9
5079,放大,9
5136,邪恶,9
5326,融入,9
5381,表情,9
5447,自圆其说,9
5478,网大里,9
5604,荒诞,9
5627,段,9
5637,变得,9
5669,发疯,9
5718,朋友,9
5781,這部,9
5807,创作,9
5834,环境,9
6180,不用,9
6204,富人,9
6602,本质,9
6637,小莲,9
6691,国产电影,9
6743,震撼,9
6814,味儿,9
6861,语,9
7061,王,9
7078,变,9
7106,依旧,9
7115,美术,9
7287,明星,9
7332,戏剧,9
7382,评分,9
7392,推动,9
7414,王家卫,9
7623,样子,9
7662,环环相扣,9
7741,警匪片,9
7748,不知所云,9
7982,拍得,9
7986,一个个,9
8089,诚意,9
8102,部,9
8126,出乎意料,9
8207,自洽,9
8282,工具,9
8354,放到,9
8380,不合理,9
8388,张力,9
8450,浪费时间,9
8654,一点点,9
9010,說,9
9053,真心,9
9384,间,9
0,插叙,8
16,粤语,8
227,展示,8
232,圆,8
303,主演,8
355,文工团,8
396,自由,8
510,跳,8
539,见,8
589,舒服,8
618,猜到,8
655,功力,8
1068,95,8
1180,选片,8
1267,亲儿子,8
1559,搭配,8
1680,魔警,8
1799,实力,8
1823,救命,8
1826,瑕疵,8
1860,煽情,8
1902,却是,8
1912,片里,8
2004,要命,8
2062,年轻,8
2530,案中案,8
2667,女孩,8
2723,骗,8
2795,干,8
2826,只会,8
2970,完美,8
3035,支持,8
3036,瞎,8
3087,天,8
3147,层层,8
3293,拍法,8
3323,雨夜,8
3398,不停,8
3569,讲得,8
3596,重心,8
3617,欲望,8
3720,封建,8
3787,嘴,8
3795,高级,8
3815,想法,8
3830,懂得,8
3963,张婧仪,8
3977,同情,8
4199,偏,8
4234,烧脑,8
4452,稀烂,8
4483,枪,8
4823,抬,8
4977,日记,8
5161,山庄,8
5183,路,8
5249,佳作,8
5260,隐藏,8
5262,牛,8
5331,剧版,8
5349,杀死,8
5503,中段,8
5554,皮,8
5688,美学,8
5788,捧,8
5804,想要,8
5911,布景,8
6257,庭审,8
6321,外衣,8
6381,沦为,8
6389,爆炸,8
6398,厉害,8
6471,几年,8
6543,收尾,8
6745,上午,8
6772,不见,8
6904,翻拍,8
6941,动作,8
7064,全场,8
7087,色彩,8
7095,事情,8
7137,报,8
7281,艺术,8
7393,客观,8
7397,因素,8
7447,深度,8
7512,配角,8
7527,估计,8
7565,稀碎,8
7708,看似,8
7726,唐诗,8
7739,问,8
7786,喊,8
7831,十足,8
7927,案子,8
8068,出演,8
8086,封建迷信,8
8246,度,8
8406,好帅,8
8448,串联,8
8575,升米,8
8633,友情,8
8667,堪称,8
8691,反,8
8789,巧妙,8
8820,星给,8
8833,想象,8
8864,对话,8
8875,晦气,8
9069,耳,8
9143,boss,8
9179,一塌糊涂,8
9399,可笑,8
3,开,7
56,追求,7
136,缺,7
196,太过,7
328,凶杀案,7
350,重生,7
429,看不见,7
434,梁生,7
493,瞬间,7
540,无间道,7
558,想起,7
612,@,7
627,暴露,7
642,欣赏,7
678,第一幕,7
680,坐在,7
766,文化,7
897,不通,7
974,尺度,7
976,看点,7
988,严肃,7
1093,特別,7
1161,方法,7
1269,国产片,7
1399,技法,7
1408,问问,7
1569,中规中矩,7
1607,猪,7
1623,廉价,7
1697,花钱,7
1805,撞,7
1981,太重,7
1996,核心,7
2089,专家,7
2093,讲清楚,7
2232,心思,7
2398,原因,7
2404,失败,7
2435,韦生,7
2482,过瘾,7
2499,玻璃,7
2504,悬疑剧,7
2525,两天,7
2559,多年,7
2580,做出,7
