,分词,计数
6512,讲好,7
6546,求求,7
6628,远,7
6824,消费,7
6841,本质,7
6860,逼,7
7078,悲剧,7
7104,PS,7
7111,发自内心,7
7132,噱头,7
7143,梦境,7
7159,战胜,7
7166,缺乏,7
7317,出品,7
7327,扎实,7
7357,年纪,7
7365,早就,7
7396,抱,7
7404,摄影,7
7471,表面,7
7547,力量,7
7645,糊弄,7
7687,没能,7
7704,融合,7
7840,选角,7
7862,功夫,7
8025,每次,7
8080,人文,7
8132,弱,7
8172,奇观,7
8188,那句,7
8209,舒适,7
8220,无论是,7
8221,怪兽,7
8260,贼,7
8265,作用,7
8409,狗血,7
8427,看点,7
8453,原因,7
8567,排片,7
8622,笑料,7
8659,一人,7
8718,可怜,7
8771,身边,7
8794,大过年,7
9014,讽刺,7
9080,美的,7
9116,泪,7
9220,包括,7
9322,以往,7
9425,母女,7
9534,夏洛特,7
9595,交代,7
9633,半小时,7
9654,＋,7
9705,老人,7
9791,科幻电影,7
9797,敏感,7
9842,内容,7
9866,真人,7
9891,有意思,7
9901,家,7
10031,操作,7
10058,光头,7
10067,花钱,7
10295,做得好,7
10309,医院,7
10336,降低,7
10369,回家,7
10378,等于,7
10457,坐在,7
169,7.5,6
183,全场,6
213,区别,6
264,承认,6
285,一股,6
316,黏糊糊,6
339,低龄,6
365,皮克斯,6
501,关心,6
533,小人物,6
550,影帝,6
625,爆米花,6
638,海底,6
798,带娃,6
893,看个,6
937,不合理,6
1028,太高,6
1040,纯爱,6
1046,碎片,6
1076,萤火虫,6
1098,日常,6
1138,服务,6
1187,帧,6
1330,天,6
1361,拧,6
1384,咕咚,6
1458,燃点,6
1569,彩色,6
1575,鹏,6
1623,期望,6
1644,总有,6
1653,大团圆,6
1684,朋克,6
1694,香港电影,6
1745,偏,6
1784,主流,6
1792,刘丹,6
1823,冒险,6
1833,抄袭,6
1840,插曲,6
1863,有点儿,6
1881,变,6
1926,口号,6
1957,敷衍,6
1994,夸,6
2030,漂亮,6
2043,章鱼,6
2180,坐,6
2301,几句,6
2317,精美,6
2371,原作,6
2492,独立,6
2534,生存,6
2581,拉满,6
2587,美学,6
2647,失败,6
2680,凑,6
2698,坏,6
2758,胯,6
2765,买,6
2774,只不过,6
2790,门槛,6
2846,30,6
2851,推动,6
2879,空洞,6
3099,爆炸,6
3235,吴彦,6
3251,变形金刚,6
3303,少女,6
3344,b,6
3398,兄弟,6
3425,对抗,6
3469,营造,6
3475,解释,6
3647,姝,6
3716,贵,6
3737,起码,6
3856,住,6
3876,拥抱,6
3934,可言,6
4028,救援,6
4220,大杂烩,6
4227,事情,6
4247,逃离,6
4273,额,6
4291,说出,6
4297,改编,6
4314,拖沓,6
4331,肤浅,6
4370,唱,6
4379,光仔,6
4473,意象,6
4566,山寨,6
4663,丑,6
4761,夸张,6
4786,窒息,6
4886,道,6
5010,东拼西凑,6
5063,重,6
5091,疯狂,6
5100,聒噪,6
5122,平淡,6
5173,青涩,6
5188,高中,6
5209,这份,6
5221,诸多,6
5248,家里,6
5449,难过,6
5628,符号,6
5731,吵,6
5775,相遇,6
5871,机,6
5895,冲着,6
5937,依托,6
5971,陌生人,6
5979,保护,6
6041,低俗,6
6130,无趣,6
6143,恐怖,6
6180,好消息,6
6235,忽视,6
6306,炖,6
6326,傻子,6
6355,毛病,6
6470,说服力,6
6478,轻喜剧,6
6524,事儿,6
6553,最佳,6
6575,机会,6
6611,赛博,6
6731,模样,6
6733,海贼王,6
6748,剧版,6
6757,打开,6
6836,雄狮,6
7053,绝望,6
7147,大圣,6
7165,表情,6
7221,爱情故事,6
7271,boss,6
7304,捏,6
7352,语音,6
7391,基础,6
7427,信念,6
7428,恭喜,6
7447,弧光,6
7525,莫扎特,6
7582,时刻,6
7690,欺负,6
7777,直,6
7790,好听,6
7835,低分,6
7884,渲染,6
8038,非,6
8126,挑,6
8231,无厘头,6
8237,相关,6
