,分词,计数
2874,十分钟,6
2875,稀碎,6
2900,政治,6
2930,胯,6
3004,卖点,6
3123,事儿,6
3136,几场,6
3273,短,6
3312,生死,6
3313,团队,6
3362,與,6
3382,骄傲,6
3668,当年,6
3669,坏人,6
3705,抄袭,6
3738,前行,6
3804,全是,6
3839,自我,6
3840,开局,6
3908,看得,6
3917,战机,6
3931,看不懂,6
4007,伏笔,6
4043,粗暴,6
4154,空中,6
4233,敲,6
4309,警匪,6
4441,幽默,6
4456,模糊,6
4653,格局,6
4750,推敲,6
4798,恐怖,6
4801,民国,6
4803,做成,6
4809,卡司,6
4846,具象化,6
4918,档,6
4936,雾,6
4968,劇情,6
5104,魔幻,6
5109,枪,6
5141,塑料,6
5217,摔,6
5295,人生,6
5514,眼泪,6
5527,虚拟世界,6
5551,深刻,6
5654,白月光,6
5660,金融,6
5706,怕,6
5717,肉搏,6
5772,跳,6
5796,罗曼蒂克,6
5866,全家,6
6061,瑕疵,6
6147,很帅,6
6243,网剧,6
6249,工具,6
6273,君子,6
6338,表情,6
6344,立体,6
6347,想想,6
6395,体现,6
6450,足够,6
6483,味,6
6533,内心,6
6537,浪费时间,6
6649,冬雨,6
6764,对抗,6
6786,处,6
6818,佳作,6
6860,激动,6
6907,势力,6
6949,乱世,6
7065,打死,6
7185,惊艳,6
7231,铺垫,6
7274,睡着,6
7281,那点,6
7316,选,6
7332,三角恋,6
7495,剑客,6
7789,始终,6
7823,侮辱,6
7906,学,6
7916,74,6
8016,爱国,6
8039,神经质,6
8099,金发,6
8127,提升,6
8251,美学,6
8258,音效,6
8300,泪目,6
8304,桥段,6
8321,平庸,6
8338,利用,6
8481,PS,6
8500,时长,6
8532,可怜,6
8610,悬念,6
8665,宇宙,6
8699,演出,6
8709,诚意,6
8797,雪中,6
8809,合作,6
8879,黑客帝国,6
8919,剪,6
8944,前半段,6
9051,努力,6
9115,cult,6
9154,接受,6
9168,眼神,6
9204,面具,6
9207,暗杀,6
9378,飙戏,6
9393,场,6
9410,疯,6
9425,无名英雄,6
9428,道具,6
9449,代入,6
9485,标准,6
9678,战,6
9687,地下,6
9737,一把,6
9750,森林,6
9789,五亿,6
9803,那部,6
9879,上海,6
10044,酒,6
10047,演員,6
10149,私人,6
22,刷,5
87,警方,5
91,局部,5
93,那句,5
107,后期,5
163,抄,5
185,遗憾,5
228,典型,5
229,方言,5
243,幸福,5
244,每次,5
267,预算,5
289,前半部,5
299,票房,5
307,革命,5
330,独特,5
332,本子,5
342,爆炸,5
361,放,5
375,事业,5
383,报仇,5
446,虎牙,5
533,不算,5
586,几十年,5
636,用力,5
650,控制,5
667,干,5
685,五一,5
694,IP,5
769,★,5
800,自豪,5
812,一身,5
830,脉络,5
