,分词,计数
1487,升华,7
1568,分开,7
1630,见面,7
1789,翻拍,7
2083,舞蹈,7
2150,自由,7
2164,视听,7
2167,人心,7
2231,魅力,7
2237,诠释,7
2332,流水线,7
2339,后期,7
2384,告诉,7
2459,很漂亮,7
2490,成年,7
2518,影视,7
2686,环境,7
3321,难以,7
3355,硬,7
3419,流畅,7
3553,一般般,7
3564,有点像,7
3601,不让,7
3655,精准,7
3760,路演,7
3772,少年,7
3934,恶心,7
3951,误会,7
4080,100,7
4127,帅哥,7
4135,口碑,7
4152,中规中矩,7
4169,感叹,7
4301,现实生活,7
4303,本地人,7
4329,子,7
4345,烦恼,7
4519,推进,7
4523,渴望,7
4602,单身,7
4614,提供,7
4633,琐碎,7
4681,隔壁,7
4710,只不过,7
4773,自嘲,7
4836,内心,7
4975,刻板,7
5086,有没有,7
5182,探索,7
5195,歌舞,7
5224,失败,7
5382,眼前,7
5576,温暖,7
5662,感染力,7
5759,同居,7
5772,随便,7
5885,十足,7
5975,回,7
5987,一方,7
5998,许嘉树,7
6055,饰演,7
6070,拉,7
6092,性,7
6320,ost,7
6384,工具,7
6389,个性,7
6390,松散,7
6596,谢谢,7
6616,年龄,7
6705,情爱,7
6725,语言,7
6788,六便士,7
6835,聊天,7
6931,不太,7
7070,版权,7
7075,审美,7
7093,创造,7
7123,便利店,7
7210,心疼,7
7211,见夏,7
7283,第一部,7
7296,围巾,7
7309,也子,7
7387,忍不住,7
7431,回来,7
7604,南京,7
7692,编导,7
7714,互动,7
7732,效果,7
7798,能力,7
7801,面前,7
7840,年代,7
7880,好久没,7
7991,女主角,7
8077,暗恋,7
8158,所有人,7
8306,怕,7
8323,穿,7
8366,童话,7
8394,变,7
8667,基础,7
8686,安排,7
8696,离开,7
8745,缺点,7
8833,短,7
8863,议题,7
8870,注定,7
8902,宇宙,7
8933,想法,7
9020,这句,7
9217,感慨,7
9275,当代,7
9328,再也,7
159,打游戏,6
228,耐看,6
386,拼凑,6
394,看吧,6
417,感同身受,6
450,几年,6
461,年会,6
500,窒息,6
510,跳舞,6
612,脚趾,6
709,接,6
794,友好,6
807,问,6
937,默默,6
1007,旁边,6
1050,住,6
1190,心灵,6
1200,耽误,6
1234,食堂,6
1327,忘,6
1357,受不了,6
1404,赶紧,6
1406,打卡,6
1414,区别,6
1468,普通人,6
1485,舒适,6
1504,那句,6
1537,色彩,6
1572,动人,6
1602,造型,6
1614,拖沓,6
1656,全场,6
1712,闪耀,6
1779,试图,6
1841,紧凑,6
1855,!,6
1858,有个,6
1939,快点,6
1948,爸爸,6
1971,鼓励,6
2030,排片,6
2205,共情,6
2227,越,6
2270,外地,6
2335,第二天,6
2342,巧妙,6
2405,摩天轮,6
2429,狠狠,6
2437,一条,6
2653,仨,6
2664,反,6
2673,看不到,6
2685,一夜,6
2697,太少,6
2708,力量,6
2727,干嘛,6
2771,清新,6
2778,灵气,6
2959,听到,6
2963,说话,6
2978,相处,6
3087,影像,6
