用户名,评论时间,评论内容,评分,赞同数
兵部左侍郎千夏,2022-02-17 12:56:12,又黑了一个职业:建筑设计师,10,6
嘟嘟熊之父,2022-03-31 19:20:12,气到窒息。,10,1
WrongMe,2023-01-18 23:02:24,大街上自言自语的时候能不能戴个蓝牙耳机？三年就能从助理做到主任的位置、从默默无闻做到艺术家？（焦迈奇）是（施柏宇）的男朋友吗？这真的是一篇高三时看会哭的青春伤痛文学。不健康的爱情故事。,20,0
地铁姑娘札姬,2023-03-07 01:51:00,（2022.3.23）女主演技和情节都挺尬的，这样难看无脑的电影竟然能在2022年三部情人节影片中靠口碑走得最远……小明虽然只考了30分，但哥哥考了25，弟弟考了20，小明第一。,10,0
wang,2022-02-19 19:45:01,情人节的时候看个水剧，男女主也是正常路人颜，正好,30,0
miss z,2022-03-19 01:05:04,其实我觉得还行啊 本身是个爱情片 加点奇幻 有了乐趣性 要不然俩人唧唧歪歪谈恋爱我是不会看的 这个疫情期间看真的很好 很轻松,30,1
阿山,2022-03-30 12:35:57,女主有点像白百何啊，虽然看过男主的剧，但这电影里男主演技真的不行，知道是烂片，就是好奇看看。,20,2
韦恩斯坦_李,2022-04-21 22:03:59,“触不到的恋人”这种情节的故事早就看过了，所以看着也没什么新鲜感，只是看看周依然和施柏宇的颜还不错，感觉青春真美好啊。这个周依然确实很漂亮，年轻有活力，有那么一点像周冬雨，也有那么一点像我一个朋友。,30,0
念已,2022-03-17 11:14:52,不知所云,20,1
邵禹升,2022-03-18 00:46:10,我擦，用超现实主义玩雌雄同体？？就好像用月亮与六便士体会现实人生。这玩的高级呀……可这东西一出，就肯定是有点扯呀！被烂片的几率很大……再加上渣男的狗血，就注定了迂腐……PS：关键这手机还扔鱼缸里了，属实有点装逼啊！,20,1
kinder23,2022-03-26 01:08:25,什么地摊文学，要命……难道爱情电影就是疯狂说所谓的金句？国内的电影人对爱情片到底有什么误解……,10,0
Belle,2022-04-01 08:53:52,加了双重熟人巨厚滤镜之后——我可以给个推荐啊哈哈哈哈哈哈哈哈！本来网剧电影的小成本能上院线，夫复何求。（看到重复出现的熟悉的蜂巢方案笑死&山西口音的甲方到底在影射什么啊哈哈哈哈哈哈哈哈哈）,40,0
木柵永樂町,2022-03-19 14:10:11,"人物刻板臉譜化… 劇情高糊… 太多廢戲…(印象在抖/快上刷到過類似題材的短視頻&短劇… MCN拍的還比較'精彩', 至少不拖沓…（ 闆精闢總監：施沒能激起女性受眾的戀愛荷爾蒙🤣 演技也還要再加油… 同樣是因為[想見你]跨海走紅, 光漢在對岸接了些愛情戲後 又回TW發展了[至少21年底~22年初都在TW拍戲, 非甜寵題材]… （前車之鑒'李鴻其', 接連兩部愛情片口碑都撲街[雖然'時間盡頭'票房賣回本了]… 後續露臉的基本都是男二/男三/客串，但他有演技傍身… （ 要走流量小生or實力演員 真的要規劃好發展方向…",10,1
大红袍不是绿茶,2022-03-27 15:14:16,平平无奇爱情片，开头太不吸引人了，中间还可以，结尾又仓促,20,0
Galloway,2022-02-24 04:24:36,所以到底是不是翻拍？,20,1
LettyZ,2022-05-04 00:20:33,前面共鸣时期还挺好看的，断线之后立马就拉垮，仓促结尾,20,0
披着人皮的鬼,2022-03-18 17:24:54,好想去你的,10,1
连翘,2022-03-24 20:06:05,演员为什么要接这么土的电影，消耗自己。,20,0
苏小妹,2022-07-17 19:56:55,男女互换、灵魂想通的戏码还是很好看,20,0
孑生,2022-03-16 11:07:18,分屏yue了,10,2
嘿，丫头！,2022-03-26 10:36:54,回忆有点多，爱情的火花大约来自日复一日的陪伴。突然想起陈韵如，那个不被别人注目的孤独的女生。,20,0
Fairy🍒,2022-03-19 10:54:10,是我喜欢的有趣题材，可惜拍得、演得都毫无灵气。,20,1
大宝,2022-03-31 22:38:21,给施柏宇一分，已经演了不少爱情片，演技也越来越成熟了，以后接个好片吧。这片子不适合拍电影，拍个狗血电视剧，能比现在评分高。,30,0
刘白,2022-03-16 23:53:55,烂片请滚出我的世界！,10,2
Fairy🍒,2022-03-19 10:54:10,是我喜欢的有趣题材，可惜拍得、演得都毫无灵气。,20,1
Chapelle L.,2022-12-02 23:39:33,片子一般般吧 適合十七八少男少女互相喜歡那種的去戲院 不大適合被生活毒打過的中年人了 不過感覺女主在新生代裡面演技還是不錯的 男主稍差,20,0
拉赫玛尼诺妇,2022-03-16 21:25:05,hello？派派你在干嘛啊？,10,1
Lee_刁,2022-03-18 11:29:26,去你妈的………智障………,10,3
弘直,2022-09-30 21:47:52,很好，毫无用脑的一个多小时。,20,1
大宝,2022-03-31 22:38:21,给施柏宇一分，已经演了不少爱情片，演技也越来越成熟了，以后接个好片吧。这片子不适合拍电影，拍个狗血电视剧，能比现在评分高。,30,0
莱克尔博德,2022-12-01 23:03:49,演员嘛是好的。,-t,0
Sandra J,2022-11-03 21:30:48,剧本有些糙，男女主演的有些意思，但有些情节太套路化太尬。,30,0
伊心,2023-02-04 20:29:05,不知道为什么特别不喜欢片子里的这个奇幻设定，代入自己会觉得特别没有“安全感”和“隐私权”，而且撇去设定，剧情整体挺无聊的,10,1
-COCO,2022-03-18 12:58:17,大力娇女一诶 周依然还是可爱的 施柏宇也养眼但是他俩口音很违和 ps施柏宇好喜欢接和时空穿梭相关的片子啊 想见你 循环初恋 还有这部,10,1
Super DD,2022-04-28 19:05:30,挺有趣的,30,0
凸肚,2022-02-19 00:07:54,甜度适中，杂志画风，理想青空，六便士也懂,30,1
通叔,2022-12-28 18:43:01,心意相通的爱情，也不好搞啊,30,0
STAYREAL,2022-03-26 09:00:08,演技太烂了,10,0
光影一路同行,2022-03-31 21:34:17,比较平乏。唯一是从结尾的彩蛋，看到该片拍摄方式的别出心裁。男女主应该在拍摄结尾戏之前没有见过面，和电影情节一样分隔两地拍摄。彩蛋里两人相见互动很有破壁成真感。但可惜在电影中两人情愫蔓延的戏并不太够。,20,0
甜水园子温,2022-03-17 14:30:27,海报的意思大概是男女主一共同框三场戏。施柏宇台词真的很烂，但他真的好适合演被错付的角色啊，一厢情愿绝活哥，以及这个角色有没有可能是gay？,20,1
电影上言君,2022-03-21 15:40:11,很俗套的故事，但是由于男女主角的选角成功，我还是很喜欢地看到了结尾，唯美的爱情故事，两个人互相跑到了对方的脑子里，这样的缘分只能结婚在一起了。,20,0
momo,2022-02-15 14:51:27,尬的时候是真的尬，好笑的时候真的很好笑,20,5
Spring,2022-02-16 00:29:29,跨时空心灵感应的这个根本设定没有处理好。对于这种全程能猜到剧情，加上并不新颖的、甚至有些退步的价值表达，让这部片没有什么探讨空间。,30,3
过香积兽,2022-04-19 17:09:35,不行。但周依然是有潜力的。,20,0
hungry,2022-02-27 07:39:45,剧情、表演、剪辑乏善可陈，男主的生活部分呢？拍得还不如we do not talk anymore的男女生活MV有意思呢。鉴于不能打0分，打1.9貌似不可能？那2.9/10不能再高了。垃圾片。,10,2
水边的小竹子,2022-03-21 22:55:57,故事设定无厘头，人物个性单薄，所有配角都是工具人，唯一优点就是男女主演还算比较讨喜😂,30,0
Muto,2022-03-16 20:30:32,有人说：爱艺术易，被艺术爱难。我相信，标题《好想去你的世界爱你》是一句真心话，尤其在灵肉分离的工作氛围下。可惜，对于男女主人公来说，那或许是一个遥不可及的梦。不过，血脉相连，文化相通的两岸同胞以这种意外又神奇的可爱方式实现「灵肉 」统一也不错哈。崇拜是爱的基础——好的奇迹是惊喜，坏的奇迹是事故，鸡汤也好，狗血也罢，就让「文艺界」打工人聊以自慰吧。,20,1
HaagenDazs,2022-04-06 19:35:06,通常，名字越长，电影越烂。一星是给施柏宇的，哥，不能什么烂片都接啊,10,0
Orchid,2022-10-24 19:54:33,还不错。打工人依然也很可爱。男女主没啥对手戏。人物都不够立体。但音乐不错。,-t,0
纤手破新橙,2022-02-17 21:32:13,故事设定比较有意思，演员演的不错，不知是导演还是编剧的原因，导致故事讲的连贯性不好，故事冲突处理的也不好。,20,0
如筠,2022-05-29 11:41:36,歪果仁十年前拍过的in your eyes，为什么我们能拍得这么差……想蹭一蹭女性议题，但却蹭得不伦不类，满腹怒气，浪漫气息全无。,10,0
徐子信,2022-03-18 21:33:48,台词写的太糟糕了，从女主嘴里说出来更加糟糕。,20,1
HHHHHHH_29991,2022-02-15 02:24:07,普通偏下又尴尬老土的水平……！！施柏宇我真的看错你了，想见你里留的印象那么好，一下子打破了……台腔真的太出戏太僵硬了！本来看题材还以为挺新颖，纯纯想多了……不同的题材，同样的尴尬😅台词也是一级老土！剧情也是狗血无聊……最经典的莫过于：我分得清马克笔的不同色号，却分不清自己的心。救命🆘啊啊啊啊啊啊啊土死我算了！还有各种误会 擦肩而过……哎救救我吧！！,20,12
东莫卓羽,2022-03-01 00:00:13,2022情人节档，稍好于另外两部的爱情片。演的挺自然，男女主的荧幕CP感还是挺让人信服的。,30,2
Hua,2022-03-17 00:54:08,"挺好看的一部电影啊，看不懂为啥评论区这么可怕😂。
男女主感情来的不突兀，最让我心动的莫过于他为她泡热水澡，她为他戴上手套。
他们都被最真实的对方吸引，在变成更好的自己后重新在一起。",40,10
睡懒觉的cc,2022-03-22 01:30:22,幸好男女主的颜值还算耐看。,-t,0
开平彭于晏,2022-02-14 22:32:12,"14#好想去你的世界爱你 2022.02.14
除了有点小俗套小矫情，氛围型观众表示看的还挺舒服，“脑电波相通”的老梗之下的那些小矛盾也确实能逗人发笑。施柏宇周依然的演技是在线的，另外结合戏外俩人的短暂相见，情人节小糖水有了；只是万万没想到那个贡献了好听歌曲的焦迈奇，在床上躺了俩小时。",30,0
梁眼看电影,2022-03-29 16:03:35,两星全给周依然,20,0
密苏里茶茶,2022-08-13 00:00:13,get到施柏宇的颜了！！之前在想见你里过多关注许光汉，这部电影里觉得施柏宇更适合这种暖男文艺层次感齐刘海(在想见你里是眉上刘海，剪的七零八碎），而且浑身散发着艺术家气息，忧郁又迷人,30,0
梦之安魂曲,2022-03-17 22:08:46,以前看《你眼中的世界》时没觉得有多好看。但看了国产版，差距立马体现出来了。,20,1
半逗,2022-04-09 16:46:32,毋庸置疑，烂片一部，但不是最烂的,20,0
熊小叔叔叔,2022-03-18 17:26:23,No.2437 本该是挺不错的电影，但还是演员太年轻了吧。,30,0
秩秩斯干,2022-06-06 22:09:05,同问，盗取《你眼中的世界》的核心创意给人家版权费了吗？男主完完全全就是工具人，为了感应把人弄到大老远的德国，无论是职业 还是人物困境都非常离谱，最离谱的是结局，男主写的网络小说极具人气居然还被女主看见，从创意到结局，全都是悬浮着的，人为制造的“偶然”，无力吐槽,20,1
凝羽飞,2022-03-20 13:44:29,前面互相折腾的桥段其实还是有点意思的，但是快进到感情线就感觉很突兀，因为2个人其实就像网恋，但又不是互相彼此在流动的，就好像编剧说现在他们两喜欢对方了，可事实是作为观众我都没觉得他们到这一步了，这才是这片子最让人难受的点。整体风格其实还是很唯美的，但是说真的我也算是看过不少身体互换的电影了，这种频道串台还能互相控制身体的，是真的离谱中的离谱了。,20,1
小鸟天空,2022-03-21 13:12:39,前半段搞笑，后半段暖心，派派又演了一部穿越剧，从《想见你》开始，到《循环初恋》再到本片，是要将穿越进行到底的节奏啊，不过这次不是时间穿越，而是分隔两地的男女，脑电波穿越到了一起，可以说是很天马行空的想法了。而且电影有一半故事发生在德国，欧式建筑+大雪纷飞，画面也着实漂亮，符合情人节的浪漫气息。,40,0
四娘生猛,2022-03-28 22:56:49,小甜片的起名学,-t,0
小约翰子奇,2022-02-15 14:43:08,挺纯粹的，双向奔赴，为对方努力的感觉很好。施柏宇很好。,50,8
SuYlla,2022-04-04 21:31:57,男主演技太差啦，女主别不是第二个张若楠吧,20,0
Rowena,2022-06-13 13:04:53,剧情2星颜值加1星,30,0
葉子,2022-03-18 20:44:38,男女主是在不同片场吧,20,1
王兆鑫,2022-03-16 22:05:19,可惜周依然,10,1
伍仁,2022-05-06 22:20:29,什么啊,20,0
晾衣场,2022-12-21 20:53:24,以前就好奇焦迈奇在里面演了什么角色，今天看了才知道全程演了植物人，最后还死了😭，还是很喜欢施柏宇的。,30,0
1900,2022-02-14 20:11:24,和《你眼中的世界》一毛一样…,10,9
小孙字典没输字,2022-09-18 21:38:38,这是最美的“三年后”故事，有缘相隔千里也会相逢。💗😄,50,0
晓思丽英,2022-03-16 23:20:28,138,30,0
Shing Chen,2022-03-18 23:19:27,比我想的好看呢，好可惜情人节当天没有去电影院看。情人节也因为自己不太会过，过得不太愉快。因为意外脑震荡，将遥远世界的两个人脑电波共振起来了。你能感受我的感受，你能听到我我也能听到你，两个人像两个陌生网友，却又是那种完全共情，形影不离合二为一的两个人，这种感觉怕是所有情侣都想拥有吧。抛除掉很多的不合理，和简单到第一眼就猜到结局的各种工具人设定，爱情中的不讲道理都讲得挺到位，定位清楚，目标客户和目标档期明确，这样就够了。,30,0
细混子,2022-03-26 13:18:48,我觉得还可以啊，有点那个美剧的意思，我还是很喜欢这种两个人命运中的连结。就是有一个问题，男女主脑电波交流这么久，加个微信视频一下很难吗？还有那个“男神”什么鬼，门槛太低了吧。还是要跟懂自己尊重自己的人在一起。,40,3
十三妹,2022-02-17 09:51:07,"这是今年情人节档唯一一部没死人的电影,比隔壁《不要忘记我爱你》《十年一品温如言》强点",10,3
藤藤崎,2022-11-04 21:13:10,概念挺浪漫的（周依然依然是我心中最灵性小花，施柏宇就适合这样带点忧郁和诗意的角色,30,1
小金,2022-02-15 00:04:33,想不到大陆电影工业最先实现的地方居然是国产谈恋爱电影：套路化的毫无疑义拼凑出来的大长片名，青春男女主，奇幻剧情，然后就可以单纯地爱来爱去了。虽然少了些跌宕起伏，但作为情人节特供给情侣们消磨下时间其实也无可厚非？国产青春片在骂声一片中走过十年后，摒弃了堕胎等狗血剧情，逐渐提纯到这种程度倒也不失为一种进步？,20,4
落落的风,2022-02-15 21:34:07,男主演技尤为感人！,20,4
rose☆彡,2023-02-26 19:04:32,文武兄弟一起颜值一般，和女生在一起突然颜值拔高，难道就是偶像剧光环么,30,0
Evangeline8,2022-02-23 19:45:06,"几乎是抄袭了各国各类同概念影视作品。。
整个表演看下来也很尬。。。！",20,1
