用户名,评论时间,评论内容,评分,赞同数
柚桉桤,2023-04-29 23:12:23,难看，故事线漏洞百出，剧情也很零碎，煽情点制造得很牵强，白瞎了白姐和王千源,20,17
武侠小王子,2023-04-29 09:14:21,结构清晰，在案件开庭黄景瑜饰演的检察官与白百合饰演的律师交锋的主线上，通过人物辩驳引出案件的全貌，环环相扣，代入感很强，猜测案件真相以及隐藏在深处的保护伞是谁。不严肃沉闷，恰到好处的融入了喜剧元素！无论是小岳岳的喜感还是王千源饰演的检察官的某些“神助攻”，看到的时候都忍不住笑出声。,40,135
六百味地黄丸,2023-04-29 12:55:19,童雨辰在自己的计划得逞的时候，冲着李睿一笑，可以称得上是笑里藏刀了,40,187
wky,2023-04-30 23:48:07,超简单的剧情...尴尬插入的恋爱戏份...,20,21
朝阳区妻夫木聪,2023-04-30 22:44:24,如果不是刀架在脖子上，实在很难让人相信麦兆辉会拍出这么伟光正且无聊的作品，就连白姐都无聊的让人没有任何发言欲望。,20,11
野生动物没有园,2023-04-29 12:52:39,黄景瑜和王千源联手办案，这两个硬汉隔着屏幕都能感觉到一种正义感,40,171
伦敦的雾,2023-04-29 11:00:59,不得不说，王丽坤真的很适合这种内敛大气的角色，从她身上我看到了女性的力量，柔和的外表之下也有千钧之力。,50,156
阿弥陀佛,2023-05-01 21:09:43,各方面都不错，演员表现都很好,50,13
叫我高舒夜,2023-04-29 12:37:12,救命，比长空之王还难看，我造什么孽啊美好的假期看这种烂片，黄景瑜和白百合的文戏包括谈恋爱和庭审全部一塌糊涂，尤其是黄景瑜，以后还是专心排动作戏吧，因为他眉头一皱发现事情并不简单……剧情逻辑简直是把观众智商按在地上摩擦。,20,20
恶魔的步调,2023-04-29 11:40:57,印象里检察官视角的罪案公诉题材这是第一次，也算让观众明白公检法机关在面对案情上职业的不同分工。检察官这个工作其实比屏幕上展现的更加辛苦，阅卷提审、调查取证、出庭公诉，每一个环节都要付诸心血和汗水。,40,71
windNOTRain,2023-04-29 12:55:47,检察风云有真实案例改编做基础，使得整个故事很有真实感，片中还融入了不少检察官办案的专业内容，使得影片更有说服力。,40,161
...,2023-05-01 00:33:06,一直很喜欢白百何的表演方式，她的台词功底真的非常好,40,14
风归去,2023-04-29 18:23:00,如坐针毡，如芒刺背，如鲠在喉,10,37
Verschueren,2023-04-29 16:43:58,"以检查官视角李睿的陈述进行案情推演，又倒叙，案情环环相扣，全程无尿点，非常引人入胜，但整个故事给观众看的却是直给，过瘾！
观影过程仿佛参与了法院的旁听，而整个电影是我脑海中进行“揭开真相”的推演。
洪俊山自杀的时候画面非常有冲击力。
隔着荧幕都能感受到几位主演的气场。
景瑜挺身进包间的时候胸肌先进来，盘靓条顺好喜欢！
白姐还是这么让人喜欢，从监狱出来，对着王千源问好，甜甜一笑，太可爱！",50,36
Crazy Ivan,2023-05-02 18:21:51,星光  剧情有点意思，但悬疑感一般，有笑点有尬点。王千源真是神奇的存在，小岳岳怎么混进来的？,30,0
Veronica,2023-04-29 18:10:09,想杀人就拿枪对准正在开车的司机，自己就坐在车上？这片是麦兆辉导的，看来无间道就是巅峰了。,20,17
未林,2023-05-04 21:30:31,麦导是玩了一场剧本杀后写下的剧本吧，结局真就很剧本杀的套路啊[叹气]~身为检察官就要走警察的路，让警察无路可走~虽然故事线感情线全部稀碎，但香港导演不管什么题材都不忘落到抓内鬼上🥹,20,3
韩先生的电影,2023-05-03 02:00:54,5分，故事真的太单薄了。,20,4
晚不安,2023-04-30 01:05:27,命题作文感太强，但揭开面纱一看，原来不是检察风云，而是盗墓风云，放眼整个主旋律扫黑届，这个创意也是相当炸裂的存在。电影的调性非常诡异，虽然主角看上去是检察官，但叙事视点却是完全散乱的，在正邪两股势力中来回游移；法庭戏也被彻底剪散了，控辩双方的陈述丝毫没有力量，结尾对真相的揭示堪称儿戏，试图营造的悲剧性自然也不能成立。最要命的是全体演员的表演质感都差到极点，黄景瑜居然全程就用一个皱眉的表情蒙混过关。麦兆辉真的退化成一个连类型都处理不好的导演了。,10,21
WIKI魏,2023-04-29 13:46:36,地狱空荡荡，恶魔在人间，冲着真实案件去看的，冲着检察官视角去看的。白与黑、正与邪、攻与守、案中案、旧案与新案、加害与被害、和睦与鬼胎、沉默与发声、舆论失控，悬疑反转；一桩多年旧案被牵出，所有人被卷进凶案漩涡，熟悉的导演麦兆辉结构。白百合本色适合这样劲劲儿的律师，包贝尔“赵公子”狠人反派是不是演上瘾了。,40,46
张兮兮,2023-04-29 11:15:21,麦兆辉还是按港片的感觉来拍的，尤其王千源饰演的检察官在街头被跟踪那段，看得蛮揪心的，岳云鹏的图书管理员算是一个调和剂，缓解了电影紧张严肃的气氛，观众可以在中段被逗笑放松一下，观感上相对来说就会舒服很多。,40,75
May,2023-05-01 00:23:24,鲸鱼，娱乐圈服兵役，警察，检察官都齐全了，哈哈哈,40,20
Ber_雪碧,2023-04-29 09:25:28,能看出麦兆辉在文本上下了功夫，从校园贷开始，由扫黑到背后的盗墓再到反腐，顺藤摸瓜，层层递进，每个出场人物都有背后的故事，又能互相串联，虽然不难猜出背后的保护伞是谁，但过程还挺享受的，整体比以往此类电影可看性强太多。,40,63
听霜书生,2023-04-29 19:08:30,案件一环扣一环，悬念的设置和剧情推进都很有看头,40,27
乍暖,2023-04-29 09:32:29,电影改编自真实案件，首次以检察官视角展开如此错综复杂的故事，尺度比我预期大得多。从《窃听风云》到《检察风云》，导演麦兆辉驾驭起这类商业犯罪大片愈发成熟，影片节奏明快，叙事高效，交叉剪辑搭配上诡谲的音乐让观众始终悬着一颗心。六方人马的智力角逐非常精彩，全员演技在线，尤其是黄景瑜和白百何的法庭对峙戏，张力十足，随着双方激烈的交锋，谜底最终浮出水面。电影涉及的校园贷、媒体正义等元素具有现实关怀，有很好的科普作用，也让我深刻了解到检察官这个职业的意义。,40,56
Child1sh_Benny,2023-04-29 13:20:04,"认真的吗？。。。这是麦兆辉水准??
以为《检察风云》是五一档救赎，没想到是我“多虑”了。包贝尔本色出演吧，“女朋友太多，包文婧争风吃醋”，还有王千源跟黄景瑜的对话:“图书馆那小胖想你了”，“老张，没事儿就挂了”看看这格局，懂得都懂。整场看下来就包贝尔演得不错，因为根本没在演😂",20,14
桃子,2023-04-30 02:31:44,导演行活儿，情节基本靠对话推进。但说实话，主配角演员都挺认真的。星都给演员。P.S.包贝尔演技真得好（现在的发展路线是不是有点以前曾志伟那意思？）,10,12
慕帅帅,2023-04-29 11:52:12,和真实的检察工作基本上没什么关系，麦导的警匪港片模式与扫黑反腐任务强行结合，全片网大质感，如果玩过一次剧本杀，就能在前半个小时看穿案件的套路。小岳岳和田启文的强行插入，除了让人跳戏外没有任何作用，全员演技尴尬。,30,13
吉卜赛人,2023-04-29 14:47:48,我是真的第一次看到如此精彩的检察官视角的犯罪商业片，太过瘾了,40,28
束发行,2023-05-03 19:11:30,这剧本有点敷衍,30,1
Raven,2023-05-02 20:16:24,俩小时片，没节奏，砸储物箱那段儿我实在不能理解，还有那些反派行为，还有郝平演那个角色啊哈哈哈哈哈哈搁这儿搞笑呢，后面直接丢啦？,20,4
HarperDie,2023-04-29 18:22:29,零星。法制节目剧好看很多。,10,30
暴打鹅,2023-04-29 10:59:45,包贝尔就适合演这种无法无天的疯批，从赵公子到陈公子，如出一辙，让人狠得牙痒痒，又拿他没办法，最后玉石俱焚。可惜戏份太少，单把他这条涉黑的线拍下去也很过瘾的。,40,21
光影一路同行,2023-04-30 01:24:04,没在电影院这么煎熬过，麦庄单飞后是真的逊。走出香港语境，居然把一部群星阵容的公检法内宣片拍得如做噩梦一样。台词不说深意了，连个场面话都编不出，全靠打哈哈耍贫。叙事手法镜头设计像是出自一个业余人员，连电视剧也不及呀。画面质感和剧情节奏都丝毫无从谈起，一众好演员调节得像训练班表演。我真的好奇以前麦庄组合麦兆辉究竟负责什么？至于剧情降智bug，片子已经难看到无心理会这些了。最悲哀的是电影院坐满了人，大家都煎熬着又默默安慰自己坚持看完。真的是太逊了，下课吧麦兆辉！,10,25
铭记天音,2023-04-29 21:59:10,还是看点中央12台的普法栏目剧更靠谱。,10,20
居无间,2023-04-29 14:26:06,其实故事不算复杂，不过在麦兆辉的掌控下，香港团队还是将悬念做足了，当个悬疑片看足够。镜头语言在水准之上，保证了故事的紧张感和张力。对社会议题也有涉及，一步步扒开迷雾，揭露了财富权势背后的血腥真相，挺敢拍的。,40,34
月亮出來了,2023-04-29 19:35:12,平平,20,9
柯诺,2023-05-03 22:18:50,麦兆辉完全不会拍情感戏。这算是他和田启文进军内地赚主旋律💰的第一部，后面还有《大爆炸》。,10,3
马可new仔,2023-05-04 00:22:37,演员们很用力演了一个没啥悬念的故事,20,4
raingirl,2023-04-29 18:35:42,d结尾是亮点，过两天上映准备再去看一遍。,30,0
阿卜,2023-04-29 13:50:07,作为国内首部检察官视角的罪案公诉电影，片中案件全部根据真实案例改编，叙事手法也层层叠进，由一个案件深入调查串联出另外一个尘封已久的案件。麦兆辉执导更是带来全新视角，不单是精彩的群像戏，几位主要演员也带来精彩的演出，王千源在找到犯罪嫌疑人线索后的反追踪戏码也尤为精彩。,40,33
Eliane,2023-04-29 12:35:38,黄景瑜真的很适合穿制服，和王千源对手戏很精彩，亦师亦友的感觉,50,91
牙齿冒汗,2023-05-02 15:47:13,岳云鹏演电影就只是会让人尴尬。 还有几处很幼稚的地方：古董店老板和他的儿子；蹲在情侣前的张检察官； 法庭上全程不说话的夏教授；把警察的活都干了的李检察官。,10,9
月色归来时,2023-04-30 18:03:39,不到最后一刻都不能笃定自己的想法和猜测，值得冲。,40,14
冬瓜,2023-05-08 01:44:55,就算是主旋律，也有点逻辑好吧。,20,3
沈欺霜,2023-04-29 16:39:10,看到影片中检察官与律师的对峙，而且剧情也是持续高能输出,40,20
jxw611,2023-04-29 20:39:12,好于廉政风云，初期庭审戏拍的很不错，十分针锋相对。缺陷还是麦兆辉的局限性，气质上还是太港片了，比方说岳云鹏的电脑天才设定（直接机械降神），反派直接在闹市开车撞检察官诸如此类的。,30,7
沉默的大多数,2023-04-29 10:15:53,影片主基线紧张刺激，但是在紧张中也加入了一些笑点作为增味剂，最典型就是岳云鹏的几次出场都让全场爆笑。,50,132
姝尹Y(^_^)Y,2023-05-04 15:46:35,其實4月底就看了首映，但評分這兩天才放出來，所以補標一下。怎麼說呢？看之前本來對麥兆輝導演的期待還蠻高的，結果看完後只剩下了失望。雖然影片故事是根據真實案件改編，而是還是比較獨特的盜墓題材，但是從完成度來說並不及格，尤其是主角人設根本立不起來。檢察官和警察的職責區含混不清，沒有在劇本層面進行精細打磨。,20,1
朱,2023-04-29 08:26:42,超级烂,10,20
𝓡𝓸𝓸𝓴𝓲𝓮📌,2023-04-29 21:30:42,【剧透】算是超出预期，和［毒舌律师］差不多水准，但存在几个问题。1是整体抽丝剥茧偏严肃悬疑，但加入爱情线和喜剧元素，混合得不够好。2是挖出市长boss后，调查过程可进一步铺开，以增加影片深度。,20,4
.,2023-05-02 09:46:45,黄景瑜不会演戏。,10,5
Bryan·Mai,2023-05-01 22:59:11,感觉看了部TVB电视剧总集篇，字幕字体像word文档的默认设置，配乐和画面走不到一起，视听设计、电影语言几乎没有。台词感觉是粤语放到翻译软件里面转录出来，完全不是大陆人日常口语化表达的feel。或者这么说吧，白百何＝陈法拉、黄景瑜＝张继聪、王千源＝古天乐、冯绍峰＝林家栋、王丽坤＝林嘉欣，把台词换成你记忆里港剧的样子，或许突然间就毫无违和感了（笑）。,20,2
Sincerely.,2023-05-01 11:58:16,"香港导演拍国产扫黑反腐题材的电影都是演员阵容空前强大剧情不是有漏洞就是在翻PPT这部也不例外
1.开篇看看这些主演和导演的报幕毫无渲染的白色字体延期一年了不修改一下？（参考内地版反贪5）2.冯绍峰的眼神一就已经知道这部的反派是谁了... 还有包贝尔那个猥琐的笑声和于荣光在厕所里的突然出现3.黄景瑜与白百何这个看似很专业实则很nt的表白戏...真的是尬到底了4.王千源 这个角色在黄景瑜被停职之前有什么用 为啥要黄景瑜给他叫师傅？？除了话多5.冯绍峰为啥就在王丽坤的面前自杀了6.题材看似是讲检查官的 “第一部国产以检察官为题材的作品” 剧情讲的是以打伞破网为主线的抓盗墓贼的故事？还用一个女生被侵犯然后自杀的案件引出 很尬真的很尬..7.最后想吐槽岳云鹏 就不多说了懂的都懂
很难给这部电影打高分",10,5
毛毛塞,2023-04-29 20:36:05,黄景瑜帅死我,50,18
吃菜不吃呱,2023-04-29 14:44:21,挺喜欢包贝尔演得坏蛋 除此之外 没有了,20,9
