用户名,评论时间,评论内容,评分,赞同数
胡闹君,2023-04-28 22:44:12,还说不是抄袭「爱再来一次」？这基本上故事框架可是一模一样的，还死不承认，这一点就已经给差评了。再有，抄都没抄好，人家原版感情刻画的很是细腻到位，再看这，剧情老套，照葫芦画瓢也没画出什么好画来，就是把男主把女主复活后加了一段女主救赎的剧情，整成了个圆满的结局，但是个人感觉不是很有必要。而且最后部分就基本上在放mv。关键是演员，周也表现还算可以，阿瑟，真的是面瘫脸，演技和另外三个演员比真的是差距很明显。而且，设置的时间也是完全脱离实际，整体来说，又是一部爱情奇幻烂作，比较差。,20,23
路人假,2023-05-02 23:23:12,剧情平平很难让人喜欢，有些剧情会感觉很突兀。,10,9
开平彭于晏,2023-04-28 19:25:40,【39】这个导演的作品总有着一种精致的老土，服化道都好美好美，但就是架不住俗套的剧情，而且这次看着像导演参与制作《想见你》电影版后衍生出来的产品。前面一直被男主的行为气到，主CP还不如副CP好嗑，剧情的推进不要太顺理成章，导演也太爱耿耿和韦一航的家了，另外细看阿瑟很难不幻视凯子哥啊！庆幸的是最后的半小时让整部电影起死回生；也子的五官不乱飞了；石柱伫立之地是全片最棒的设计，颇有科幻质感。@倒数说爱你,30,6
五五五开票,2023-04-28 19:08:42,周也哭得太美了😭😭😭😭最后用蜡烛许愿那一幕 有种想帮她向上帝祈祷救救她的爱人的感觉，剧情没有bug，逻辑很好，触发方式简单但是有种宿命感，很喜欢，时间元素虽然是个很普遍的元素，但这部有自己的新意，女主最后一段升华了整个片子，很喜欢。,50,38
年逝,2023-04-29 07:34:09,故事有点单薄，但是足足戳到。又蠢又好哭的纯爱片。,40,8
士耽,2023-04-29 23:17:19,想看周也！！,50,10
Peter Cat,2023-04-30 01:07:32,爱情片作为国内院线刚需，《倒数说爱你》比较难得是从故事到人物基本没有太大槽点，制作品质也用心、体面。只不过在最核心的内容层面，乏善可陈，平庸无奇。或者说，对于这样一个套路的奇幻爱情模版，两个演员虽无雷点，但也没有提供更“嘶声力竭”看点和泪点，尤其是陈飞宇，显然没有能力输出一种有差异性的情感和表演，整部戏用力均匀，情绪“稳定”。,30,1
喵喵喵…,2023-05-01 23:26:55,一星都嫌多系列。感觉就是低配《想见你》，还有莫名其妙的韩剧初雪台词。求别看，看就是浪费时间！,10,12
abracadabra,2023-04-28 19:32:15,陈飞宇这几年拍了很多片子，各种类型的都有，但是我最喜欢的还是他拍的爱情片，青春片，因为年纪在那里，那么青春那么美好，这个年纪不拍爱情片可惜了。,50,68
犯怵中的嫌疑喵,2023-04-29 01:21:39,忌日快乐之兔鸭二象性的对立统一（青岛交通秩序堪忧（x,-t,6
躺炒小板栗,2023-04-29 00:25:04,满脑子都是你的🚢照……，以后可咋整,20,20
Zzz,2023-04-28 18:57:38,故事很感人，有笑有泪，全员的呈现都很流畅，节奏很舒服，特别夸下男主陈飞宇，开片他说旁白的时候在整个影院那种大环境下听真的超级享受，哭戏很细腻，不是大开大合是很细节的感情，所以看陈飞宇的哭戏真的脑门子都伤到痛的感觉，和女主对戏的情侣氛围也超级自然，男二女二那对就一整个欢喜冤家，婚礼超级唯美梦幻。整个故事以一种悬疑色彩时空循环的方式来让我们珍惜眼前人，珍惜相处的时间，任何感情都要交流，毕竟现实世界不会重来，时间不会倒流，故事的最后也告诉我们只要有爱对的人总会相遇的。,50,20
灵态飞行,2023-05-02 21:29:16,一星属于周也的脸 如果你恨一个人就让他去看这个,10,8
Z.,2023-05-02 21:44:57,看完的感想：麻烦情侣们好好过马路，不要在斑马线上一直逗留，真是害人害己。还有，请不要为了剧情去制造一些侮辱开车司机智商的车祸。,20,8
夏年年,2023-04-28 19:43:57,说实话，颜值很搭但是不太喜欢故事。这个故事确实更适合跨年。,40,44
creº,2023-05-02 20:16:58,确实加长版mv。阿瑟和也子的颜值演技是ok的,20,4
吸橙,2023-04-28 23:35:28,故事本身虽然没有到完美的程度，但是还是可以捕捉到一些关于爱情闪光的时刻，相爱多美好啊，看帅哥美女谈恋爱就很开心啊,30,5
木讷··,2023-05-02 22:35:13,两分钟能看完硬是放了一个半小时,20,8
摇摇耶汁撞奶,2023-04-28 18:14:03,比预期好看很多，最后居然圆回来逻辑自洽了，没有以往国产青春爱情片无病呻吟矫情套路，很惊喜，最后有女主许愿那段被感动到，好的爱情应该是双向奔赴互相付出的,50,39
