用户名,评论时间,评论内容,评分,赞同数
用户名,评论时间,评论内容,评分,赞同数
大奇特(Grinch),2023-04-30 14:16:29,光线影业的爱情片就是服务于女生和闺蜜一起看的，屡屡用校园和社会的“十年差”同时对准学生和上班族，再放点女性、校园、原生家庭的社会现话题进去，相当奏效。导演上一部就是校园霸凌题材，这部依然有校园语言暴力的人言可畏。每次在影院观影的同时，也会特别留意不同女性吃哪些点，有的剧作招数稍微变一变依然行得通，绝对精准打击。这部casting应该涨工资，每一个选角都完美契合角色。,-t,15
momo,2023-04-28 20:11:46,本来以为是guilty pleasure😅，结果拍得稀碎，演的还行。受不了给吸血一家洗白！！！受不了！！！！,20,241
蛋糕猪,2023-04-28 21:27:27,很久没有看到这么莫名其妙的爱情故事了。除了有些男女主画面拍的比较美以外，什么鬼啊都是,10,204
肆壹陆,2023-05-02 13:38:59,就算没有删掉的那些镜头，这部电影已经超过光线以往的水平，不至于低于7分吧。,50,81
奥特曼,2023-04-28 22:48:25,看了眼票房，一个愿打，一个愿挨，又能怪谁哩，供需平衡。,10,179
得想个办法偷懒,2023-04-29 17:22:59,"？看崩溃了  感觉像诈骗
张新成你别演校霸了  一股聪明劲！
妈的  我的评价是还没有宣传好看",20,121
喑川,2023-04-28 20:38:47,感觉被营销诈骗看得我坐立难安如坐针毡 别爱了别刻板印象强制建立冲突了别说台词了安安静静拍mv吧,10,175
油娜,2023-04-28 20:12:54,看这个电影不笑的都是不懂humor的人,10,154
北纬阿德,2023-04-28 21:00:19,这是一部爱情电影，但是这部电影里最不好看的部分就是爱情部分。 ps：张新成在这部电影里着实有点水土不服。,20,215
第十个缪斯,2023-04-29 12:09:43,男女主太甜太好嗑了！看青春爱情片，我特别怕女主装清纯，但是不得不说孙千的颜是真的可以，特别有高级感。之前看综艺觉得她像全智贤，这次电影里的表现也很拿得出手，学生时期的清纯感自然毫不做作。成年后又有一种很克制的妩媚，冷颜高级感真的可以。而且她跟张新成真的好搭，感觉是近几年难得好嗑的一对儿。在一起的吻戏也好绝啊！亲热戏真拉丝啊！看得我热血沸腾的，晚上回家想啃死我那小男友。不过男主的围巾论真的太扎心了，过程中还是有些轻虐的，可以带包纸。Ps：锅姨太吓人了，有没有锅都很让人害怕。,40,551
嬉儿,2023-04-28 20:46:39,张新成真的太割裂了 孙千学生时期演得不错 后期真的没有反差感 这个本子只适合演电视剧 慢慢铺 电影节奏太奇怪了 很多东西都没铺出来 两人可以说是毫无cp感,20,145
一起去吃瓜,2023-05-01 19:19:22,"有点零碎, 像是从电视剧截取了很多片段后组成的电影",30,18
Wallacelove,2023-04-28 21:21:06,孙千好有陈见夏的感觉,30,41
CCe_,2023-04-30 09:38:53,我最恨强行团圆，不是父母暗中关心就能洗白，是陈见夏自己强大起来足够站稳脚跟，不需要那些所谓的认可也不必再恨了，电影体量原因抹去了很多高光，不太推荐,20,66
林惊羽,2023-04-28 20:52:28,张新成已经没有林杨的清新感了 整场下来特别别扭 能看得出来 他努力想刻画李燃的吊儿郎当 但是总给人感觉 好孩子在故意装坏孩子的感觉 尬,20,96
四十二,2023-04-28 21:47:12,书粉报道！好看！张新成剧抛脸，放大看更帅了！,40,471
枫林晚,2023-04-28 22:06:31,充分说明了，找有演技的演员和有CP感的男女主角的重要性,30,58
豆瓣天后董小姐,2023-04-28 21:42:42,总要真的爱着些什么，才能抗住生而为人宿命般的孤寂感。电影《这么多年》和一般爱情电影的最大不同，是混杂在情爱里的人的复杂和飘零，只有经历时间和空间的遥遥相望，才能在记忆里留下刻在骨血里的人和事。有着“东北全智贤”之称的孙千，本身就长了一张极具故事感的脸庞，媚而不妖，耐看度极高，给电影增加了很大的看点。张新成也找到了李燃这个角色的精髓，学生时代帅痞憨直，10年后是在生意场上摸爬滚打出来的圆滑“油腻”（油腻并非指演员，是角色需要）。俩个人意外的有CP感。,40,578
特吕弗的摄影机,2023-04-28 20:48:25,"cp感玄学 
孙千青涩纯净

“我们像不像在星空里，没有来路，也没有归途。”",-t,20
Sakura,2023-04-28 20:45:32,"说实话，这是近两年看到的为数不多的可以四星及以上的青春文艺爱情片。
原生家庭不幸福的小孩需要很多很多爱才可以相信被爱、被治愈。
有笑点也有泪点。两人相互救赎相互成长。“废物啊，想陪你一起去南京呀，行吗”泪目。影片也有很多很美的画面，雪地、海边……
原谅我兜兜转转，还停留在原地。",40,570
Prøvedag🤞🏼,2023-04-29 14:02:47,菩萨知不知道我这两个小时有多痛苦,10,80
未昂,2023-04-28 20:12:14,本哥多来点大荧幕作品求求了！！！😍😍我觉得是好看的！比之前看的光线的有些一言难尽的青春片好看一万倍！！！！几乎可以打满分的青春爱情！李燃的人设简直满分💯,50,488
菠萝羊角,2023-04-28 20:51:13,男主不太还原，女主还不错哦。cp感一般般。,20,114
每天都很饿,2023-04-28 22:13:22,"（粉丝别来私我，我对主演都没意见，电影太差我还不能评价了？珍惜自己羽毛拍点好电影吧）这故事透着一股过时感，强行制造矛盾尬得慌，无聊到在电影院早早吃光我的爆米花，故事线蛮悬浮的，电影院都是情侣，也不知道他们觉得好不好看，反正我觉得不好看，女主这人设太差了，单方面被拯救的故事真的算爱情吗？现在观众真的吃这套吗？朋友请我看的，她电影卡要到期了，还好她不是粉丝最后出电影院跟我一直在吐槽，要不然我都不好意思打这个一星，五一档看看其他电影，等等口碑，再也不当小白鼠再也不信抖音电影宣传诈骗了😇你们电影出品方能不能别这么土啊，青春疼痛还在用十几年前的剧本？有点创新行不行？",10,107
细嗅蔷薇,2023-05-04 12:40:33,还行。张新成不太演得出小痞子的样子，还是县委大院呆呆傻傻的书生气适合他；孙千是个好苗子，好好打磨演技以后应该戏路会很宽…为了俊男美女打三星，凭心而论这剧情如果不是这两位主演我会给一星，很脑残！特意为了激化矛盾，把陈见夏搞得那么惨，最后又为了升华亲情，揭示她妈其实爱她，根本就说服不了观众好吗！强行推剧情，又强行自圆其说，编剧真是垃圾…,30,10
地狱蛋,2023-04-28 23:21:04,太难看了，避雷青春光线吧🥲🥲我应该拍拍我的脑门问问自己，为什么要来看这个片子，俩小时我可以看十遍《稍微想起一些》,10,62
adieu,2023-04-29 04:53:45,"这么说吧，正片不如预告，预告不如短视频营销
看短视频就啊啊啊嗑到了，看预告就呜呜呜被偏爱真好，看全片就啊啊啊就这？",30,65
