用户名,评论时间,评论内容,评分,赞同数
要丸,2023-04-14 15:49:49,#点映 #陈正道04 依旧保持了剧版的高水准，情景喜剧加小妞电影构造而出的都市轻喜剧。影版还加入很多当下流行的文化元素（短视频长视频网剧直播）试图从都市电影深化为城市电影，包括疫情符号的真实性侵入。虽然真的做到了相对时髦与小资，但还是不够具有城市电影的气质。这也是为什么陈正道会如此喜欢《爱情神话》的原因吧，某种爱而不得。这种华丽的小布尔乔亚尝试，在剧版体现在夜店戏，而剧场版则提现在了歌舞戏，三段歌舞配合着情境的不同而发生变化，中间那段甚至配上舞台剧形式在两者之间产生了一种微妙共振。而这种精妙的共振点在蒙太奇里面也随处可见，让整部电影节奏非常有趣与抓人。当然和剧版一样的毛病就是虎头蛇尾，一些困难和矛盾化解得过于轻松。,30,14
嘟嘟熊之父,2023-04-15 00:35:25,"笑料密集且当下，延续了剧版的松散与琐碎（以及对疫情背景的妙用），不再着眼于扑朔迷离的社交关系，而去关注更具体更私人的两难焦虑，用被“丧”包裹着的幽默一一化解。

为了让剧情圆润，故事结构不免俗套，但好在主旨上并未试图谄媚任何“多数群体”。让人倍感舒适的依然是男性在电影中的位置，如同女生们大脑中碎碎念的另一个自己，时而唱唱反调，时而举旗欢呼，却始终以女性的需求作为唯一前提。

倒是很喜欢像是以省略号而非句号终止的结局，一种平和、勇敢又似乎无疾而终的人生态度：友情不可或缺，爱情可有可无，婚姻大可不必！",40,30
男娼起义,2023-04-16 19:51:09,没有高潮的一集电视剧。,30,23
子戈,2023-04-15 11:23:40,"陈正道还真是聪明且细腻，在于全片都弥漫着一种不冒犯、不狗血的舒服气质，是一种最安全的女性创作，可以做到男女通吃。
关于疫情对生活的影响，关于约炮，关于性焦虑，关于职业女性通过压榨另一女性实现家庭事业兼顾的这些小点，通通是蜻蜓点水，或是以一种滑翔的姿态擦身而过。
其核心仍然是由三个小妞撑起来的大女主电影，而且这回陈正道显然是有意识地降低了甜度与爽度，起承转合更加收敛、自然。最后除了夏梦拿到单子，算是实打实的成功，其他方面都只能叫告一段落或再次出发，完全不硬来。当然，结尾的舞还是有些尴尬，属于硬凑的结尾。
我唯一好奇的是，如果完全没看过剧，单看这个电影是什么感受？",30,23
馬鹿,2023-04-15 15:07:06,比爱情神话差了一百个小时代……,10,37
科林,2023-04-15 09:42:43,"女性向小妞电影，啖尝分子料理烹饪爱之酸甜可口。B站陌陌接地气趣味，也有《秘密访客》自嘲，在教小四怎么拍《小时代》呢~
在2023走进熙攘商场影院中望见密接与隔离，喟然长叹……",30,28
叶底藏花,2023-04-15 12:49:12,电影真的是疲惫生活的解药，绝对是近期（指两三个月，苦笑.jpg）最愉悦的观影体验了，看完嘴角都还带着笑。这才是真正的时代姐妹花啊（狗头。会感动于坚固的友谊，更会为歌舞表演之前那一段新的规则下的夸赞鼓掌，女性才是最能理解女性的啊。能捕捉到时代的气息，当下且贴地，在此背景下遭遇的两难问题也足够真实。结尾歌舞与开头的call back不要太妙，如果有今年电影名场面的盘点我一定会选那一段。最后想说一句，友谊大过天。8/10,50,119
T.V.Zoe ி,2023-04-11 19:32:57,小妞电影来说还不错的，但该有的问题还是有，最后是怎么收的？唱歌跳舞就收了？,30,14
哪吒男,2023-04-14 00:28:06,救命，每个男演员都好美味啊！导演是翻了我的推特关注列表吗？,40,43
理易封,2023-04-05 18:49:40,还是更适合以剧的形式表现，不过剧场版概念不错，是一个很轻松又有话题性的都市电影，延续剧集展现女性特有困境的主题，不容易平衡的感情和职场，从剧集结尾的婚纱迷茫，到电影结尾DancingQueen造型，走出了更与时俱进的女性特点，编剧脚踏实地很重要，不过遗憾的是篇幅所限，那些感情拉扯没法更丰满,30,8
影错强,2023-05-08 13:17:03,剧版原班人马再续剧版剧情电影化，虽然口碑不差，又看了预告片突然之间觉着还是应该把这份美好停在剧版最好不过，所以决定不看电影版了。,-t,17
卷卷猫猫头,2023-04-15 02:22:48,有点受不了男导演极力揣测和意淫女性的各种内心情感，排出来的都是不同品种的“小时代”而已。,20,105
Alain,2023-04-15 00:59:30,剧作水平下滑太多了，为了一些稀碎的动机把人设都给写崩了。（以及陆斌你心疼女友就别打游戏了，打一半挂机坑害别人这就不对了（啊喂,30,15
芝士汉堡.,2023-04-15 10:42:32,"【4.0】在精准捕捉当下生活气息的同时，也在轻松幽默间一针见血的捅开这顽劣的社会症结，以最真实坦荡的方式传达爱与自由的呼声，并试图消弭人与人冷漠隔绝相斥的壁垒，尽管生活的困境永远存在，看主角们逆风前行的姿态，就如同在看另一个自己也同样踏上征途，三位主角依旧夺目，依旧自我，依旧对世界的所有恶意说No，虽然失去了剧版反套路的精巧设计稍显可惜，但当做过渡铺垫的主食前菜也还是相当可口，爱情也好，友情也罢，我们都在感受存在也都在寻找答案，痛并快乐着，失去并成长着，生活碾过便会留下褶皱，幸福是从褶皱开出的明日之花……#4.5点映，4.17二刷",40,8
