用户名,评论时间,评论内容,评分,赞同数
豆友不虚此行,2023-04-28 15:00:00,知道危险但没有想到这么的高危和惊心动魄，太感人了完全就是哭的不能自拔了，真的就是前面好笑后面好哭，特真实特自然的整个故事和人物。对于战斗机部分更是真机的直面和直观的感受到了战斗机的带来的震撼，张大队那句“做为军人，性命加使命才是生命”真的太贴切了，看完整个人都久久的沉浸在这样的敬佩、感动和自豪中，致敬这样一群默默守护我们的人，希望每一次试飞员们都可以起落平安！,50,4656
Jane,2023-04-28 15:00:13,真的好看！！前面笑的我打鸣，后来看到录音那段太感人了。一定要记得看彩蛋！！！,50,4597
就酱,2023-04-30 15:57:13,致敬中国试飞英雄。整个剧情真的很紧凑。真的像邓放说的英雄的代价也太惨重了。,50,1130
苗雨欣,2023-05-10 23:43:52,"当我沉浸在张挺牺牲的悲伤中时，敢敢说，他们炸了，我突然意识到人死了都没有完整的遗体。
我打开手机输入“空军每年”，直接出现一条“空军每年牺牲多少人”的词条。
“现在准备返航”六个字，无穷力量。
这样的电影也太让人热血沸腾了。",40,3
梦见苹果和鱼,2023-05-11 02:10:45,这个标题咱能不能再好好想想？不过真的很伟大，尤其是结尾的录音，眼泪真的忍不住。,30,1
落霞与孤鹜齐飞,2023-04-28 17:31:58,很喜欢看军人题材的电影和电视剧，期待这部电影！,50,1460
黄小嫩的妈妈,2023-04-28 14:25:43,"高飞远航，人生无畏，逐梦长空。
首次聚焦我国空军试飞员群体，揭秘最先进战斗机诞生艰辛历程。令人神往又充满敬意！",50,2906
豆友250868356,2023-04-28 14:57:51,就是一部上至八十下至八岁都适合观看的影片，听不懂飞行术语也不阻碍被各种飞机试飞时的画面震撼到吱哇乱叫，带上小朋友去看看吧，让雷宇哥哥带他空中俯瞰祖国壮美河山，也许下一个舒克就是他！,50,2095
开心先生,2023-04-28 14:58:59,非常牛的一部空军电影，剧情紧凑，情节发展跌宕起伏，张挺、雷宇、邓放等试飞高手的拳拳爱国之心，深深震撼着我，好看。,50,2651
晴天,2023-05-10 19:42:31,好看，战斗机飞行员太酷了！真男人们,50,8
你相信光吗,2023-05-04 13:53:45,失望,20,428
豆友VB8_PnySXc,2023-05-04 14:29:59,好看,50,402
小草莓,2023-04-30 08:54:31,"祖国永远不会忘记那些奉献的人
《长空之王》带我们了解试飞员这一风险度极高的职业，结尾的彩蛋泪目，最怕根据真实事件改变
胡军不愧为娱乐圈硬汉",40,262
libra月,2023-04-28 11:28:03,喜欢这类型题材,50,2492
面条,2023-04-30 08:44:32,拍的啥啊,10,1928
淘淘T_T,2023-04-28 15:00:21,看完普通屏不过瘾又买了IMAX厅再看一遍，超值，IMAX无论是音效还是画面都超棒，飞机的音爆太爽了。剧情也很流畅，有亲情有战友情还有一丢丢朦朦胧胧的爱情萌芽，虽是主旋律但一点也不说教，看了自然而然的爱国情怀就出来了,50,3901
icerock,2023-05-10 20:50:52,小细节挺好，大框架老套,30,2
苗雨欣,2023-05-10 23:43:52,"当我沉浸在张挺牺牲的悲伤中时，敢敢说，他们炸了，我突然意识到人死了都没有完整的遗体。
我打开手机输入“空军每年”，直接出现一条“空军每年牺牲多少人”的词条。
“现在准备返航”六个字，无穷力量。
这样的电影也太让人热血沸腾了。",40,3
你相信光吗,2023-05-04 13:53:45,失望,20,428
小草莓,2023-04-30 08:54:31,"祖国永远不会忘记那些奉献的人
《长空之王》带我们了解试飞员这一风险度极高的职业，结尾的彩蛋泪目，最怕根据真实事件改变
胡军不愧为娱乐圈硬汉",40,262
煊宝呀🍭,2023-04-28 15:00:40,一部超级燃超级好看的电影，有笑点有泪点，全程没有尿点，跟着紧凑的节奏不断起伏。看到自己的飞机飞出云端的那一刹那，真的十分震撼也激动无比。看到试飞员们的一次次挑战一次次试飞，最终描绘出这片蔚蓝天空，真的为他们骄傲为祖国自豪！致敬试飞员致敬英雄！正是你们的负重前行才有了我们的今天！,50,2967
平常心对待,2023-04-28 14:59:38,好电影值得更多人看到，看了影片才知道试飞员这个群体，你们是中国的骄傲,50,3704
Wuruoyang88的爱,2023-04-28 14:58:08,"真的是超级爽片 剧情很感人 有笑点有泪点 第一感觉是震撼 然后是激动 快乐 幸福 ,很有共情,值得强烈推荐的优秀影片!",50,2715
梦见苹果和鱼,2023-05-11 02:10:45,这个标题咱能不能再好好想想？不过真的很伟大，尤其是结尾的录音，眼泪真的忍不住。,30,1
💕最俏皮天使ˇ,2023-04-28 22:55:32,期待空军试飞员雷宇，挑战极限，筑梦蓝天,50,981
花海寓言,2023-04-30 15:58:15,试飞员，无冕之王无名英雄！向英雄致敬！,50,979
晴子鼠,2023-05-04 13:57:15,热血一般，剧情老套，但主题还是很好的。这片太严肃，不适合五一档，适合国庆档。,30,48
吃饭打豆豆,2023-04-28 20:35:33,就是想看,30,70
往高处跑,2023-04-28 14:30:44,出乎意料的不错，中间有燃点有泪点，真的好帅啊里面的大飞机，非常刺激，试飞员刀尖上的舞者解密了新的职业,50,4374
DemonRiver,2023-04-30 16:29:40,中规中矩。,40,178
西木,2023-05-10 17:55:50,三星半，比预期好很多，无论是剧情还是角色都太俗套脸谱了，特效起码没拉跨，而且还挺舍得用,40,0
一起看星星吧,2023-05-11 00:43:41,总的来说还行吧，开头给我整的热血沸腾。。说一下胡军真帅,30,0
猪猪侠～,2023-05-01 00:49:31,王一博,50,167
绝,2023-04-28 14:30:02,呜呜呜大队长死的那里好好哭，雷宇和邓放都好帅啊，李焕英之后哭的第一部电影。,50,2602
影子,2023-04-28 14:57:55,看完了！！燃爆了！！天哪！！看完出来手还是抖得，看战机冲上蓝天的那一刻太骄傲了！真的过瘾！孩子放假带孩子去刷！,50,2628
