用户名,评论时间,评论内容,评分,赞同数
MinamiFans,2023-04-07 18:14:58,成龙69岁生日打卡。看成龙演成龙，有做成元电影的潜质，创作者为了追求商业和娱乐化，也没必要弄得这么俗吧。。本质上还是过时的电影。但一想想他的电影看一部就少一部，不免得还是有些感伤的。,20,51
Roland痕,2023-04-07 12:50:36,看老罗试穿小宝跟男友送的衣服觉得特别感慨（这是小彩蛋吗？哈哈），不由得想起电视机里的花絮每一个片段都是他真真实实地摔出来的，冒着生命危险的疼痛与伤痕才换来了那么多经典优秀的作品，顿觉得肃然起敬，大哥必须支持,40,134
头颅在沉默,2023-04-07 12:47:11,剧情完成度还是有的，首尾呼应我很喜欢，不如说也是喜欢老罗跟赤兔的日常啥的，特别是最后赤兔拿拳击手套那段callback我爆哭。,40,96
鸡排饭加个蛋,2023-04-07 12:41:07,首映日早场安排给到龙虎武师足够的尊重，不过浩存妹妹如果你的台词再没长进的话以后真的会不如一匹马哦。,20,80
叶湘伦,2023-04-07 13:13:17,我不否认Jackie Chan在全球电影史的地位，也不否认他对于把中国功夫文化向全球传播的重大贡献，曾经我也非常非常喜欢成龙，是我的偶像，容不得别人说他半点坏话。但成龙近年来的作品确实除了英伦对决没一部能看的，这是事实，这电影也是真的不行啊，手机上看看就得了，不值得花钱去电影院看。,10,221
小旗,2023-04-07 12:40:48,全片堪称对成龙本人的大型打脸现场，就是他越没有什么这片越吹什么，而他全程高喊龙虎武师精神，可电影却照样使用了替身和各种的CGI，可纵然是如此的虚假，片尾字幕里对龙虎武师的致敬却是真的，只因为这片里出现了唐季礼，这一点懂的都懂,20,61
肥头士,2023-04-07 22:24:37,只要他还在拍，我一定会看，不管电影好坏,30,10
大奇特(Grinch),2023-04-09 15:29:33,精神我敬仰，电影真不行。请先学习下《摔跤王》那类片是如何描写父女和解的，再谈精神吧。父女关系是编剧一厢情愿妥协于剧情——和解快如风，完全不像多年没有往来，之后又变脸如翻书，全部配合剧情需要。情节上用各种彩蛋生硬拼接，只有片段没有结构。应了那句歌词“把握生命里的每一次感动”，而这些感动多数是说出来的，不是靠情感传递的，且不是为观众带来感动，而是满满的自我感动。我们总能在一些电影的片尾看到“本片没有小动物受伤”的字样，这部却……,10,82
bird,2023-04-07 17:56:31,成龙大哥生日快乐！还是退休吧！好的演员谢幕应当如初始般华丽，而不是只会自我感动。本来它可以拍的足够有趣和有情怀，结果净剩下廉价煽情了。,10,160
yukicheung,2023-04-07 13:11:18,除了成龙致敬自己的着装，别的毫无看点。,20,97
魔法使之夜,2023-04-08 16:02:52,"题材是个很有潜力的题材，可惜剧本没写好。剪辑和人物变化跳跃，抛开刘浩存本人问题，父女线占篇幅大且多余，削减父女线让其只是一个陪衬，而非主线。找个好编剧丰富龙虎武师线的相关，把重点更加聚焦到当年的港片、成龙和龙虎武师们，铺陈好人物转变，感情戏重点放在人马关系和其他龙虎武师们，电影评价绝对能提升很多，这种电影类型对于成龙来说机会真的不多。
看着成龙满脸皱纹，还在电影内打来打去，还有一段回顾自己巅峰时期的各种经典镜头，电影外宣发还各种拿成龙来宣传消费，真的很难受，我更希望他能演一些自己主导的作品，少去消费自己捧新人，万幸的是吴京在片里说愿意投钱成龙，现实也确实这样，算是些安慰了。
马的表现非常棒。刘浩存在颜值扮相上也挺讨喜，只能说可惜，这个可惜不止是指刘浩存也是整部电影。",30,9
Ber_雪碧,2023-04-09 13:39:43,“10分满分我给3分，这就不是电影。”,30,14
779103178,2023-04-07 13:14:19,我后悔我看的这部电影，尴尬，抠脚，玩手机。,10,201
猫不跳,2023-04-08 21:46:22,参加的路演场，看到成龙大哥眼泪差点掉下来，电影是情怀，是一代代龙虎武师不屈且拼命的精神，🐴演的也好，真棒,30,5
阿德,2023-04-08 12:03:54,3.5星，致敬龙虎武师和成龙自己,40,13
